wl,efg,tov,orb,ftp
0.817,0.54,13.1,24.1,0.184
0.683,0.533,11.6,22.8,0.215
0.671,0.517,13.1,23.4,0.2
0.732,0.527,13.5,21.4,0.201
0.622,0.508,12.6,24.2,0.18
0.646,0.52,13.4,26.8,0.216
0.683,0.512,15,26.8,0.223
0.671,0.489,12.6,24.7,0.214
0.61,0.515,11.9,23.6,0.197
0.61,0.489,12.9,27,0.238
0.549,0.492,13.1,28.9,0.214
0.598,0.508,12,25.6,0.232
0.549,0.501,12.5,27.1,0.198
0.463,0.494,14.6,29.1,0.214
0.561,0.499,14,24.9,0.192
0.5,0.499,15.5,25.4,0.195
0.463,0.484,13.1,24,0.201
0.476,0.501,13.7,24.5,0.191
0.488,0.489,12.5,24.7,0.176
0.39,0.482,12.3,27.7,0.184
0.451,0.5,14.5,23.2,0.227
0.366,0.479,12.7,26.6,0.204
0.354,0.49,14.8,26.5,0.276
0.463,0.491,13,23.9,0.2
0.402,0.456,11.2,22.1,0.202
0.305,0.494,14,23.1,0.168
0.256,0.473,12.1,25.4,0.204
0.195,0.468,13.7,26.6,0.24
0.22,0.459,16,25.5,0.195
0.207,0.47,14,24.5,0.18
0.89,0.563,13.5,23.5,0.191
0.817,0.526,12.4,23,0.197
0.671,0.524,14,31.1,0.228
0.695,0.524,12.7,25.1,0.194
0.646,0.524,12.1,20.1,0.22
0.683,0.504,12.3,24.6,0.255
0.585,0.516,13.8,19.1,0.185
0.585,0.488,12.1,25.1,0.208
0.585,0.502,11.7,20,0.222
0.488,0.501,14.2,25.9,0.213
0.549,0.497,13.5,23.4,0.205
0.585,0.508,13.3,23.8,0.21
0.537,0.511,13.2,25.9,0.202
0.537,0.491,12.2,27,0.197
0.5,0.516,14.2,25.7,0.244
0.512,0.502,12,20.6,0.211
0.5,0.511,13.1,20.6,0.192
0.512,0.487,12.6,24.5,0.189
0.427,0.5,12.8,23.1,0.175
0.512,0.477,12.3,25.3,0.231
0.402,0.51,14.2,23.9,0.214
0.39,0.483,12.6,23.7,0.205
0.402,0.489,13.2,25.8,0.216
0.354,0.498,13.9,24.3,0.263
0.366,0.498,12.3,21.2,0.201
0.402,0.499,14.2,24.9,0.207
0.28,0.487,15.2,25.4,0.204
0.256,0.492,13.6,24.1,0.186
0.207,0.46,12.5,23.1,0.228
0.122,0.487,14.8,20.6,0.186
0.817,0.563,13.2,22.8,0.204
0.744,0.524,12.6,24,0.21
0.671,0.545,13.3,24.6,0.233
0.622,0.537,12,21.5,0.233
0.622,0.526,13.2,23.2,0.215
0.622,0.517,11.8,25,0.233
0.622,0.547,12.6,21.9,0.206
0.646,0.525,12.2,21.2,0.22
0.598,0.528,12.8,24.1,0.199
0.573,0.5,13.2,27.9,0.22
0.524,0.491,12.1,24.8,0.219
0.5,0.512,12.4,24.2,0.177
0.488,0.53,13.2,27.3,0.214
0.5,0.487,12.3,27,0.206
0.439,0.501,10.7,19.9,0.227
0.5,0.52,12.5,23,0.214
0.512,0.527,13.2,21.5,0.21
0.512,0.516,12.8,21.2,0.212
0.378,0.511,12.9,27.2,0.229
0.524,0.504,14.2,23.6,0.215
0.451,0.492,10.9,24.1,0.157
0.415,0.504,11.7,18.5,0.192
0.402,0.505,11.6,18.1,0.18
0.39,0.516,13.7,21,0.22
0.378,0.496,12.4,26.6,0.188
0.293,0.493,13.4,26,0.231
0.341,0.501,14.9,22.4,0.199
0.217,0.501,13.5,25,0.195
0.354,0.489,12.1,21.6,0.184
0.244,0.507,14.7,19.6,0.228
0.793,0.551,12.7,21.3,0.233
0.72,0.539,12.1,23,0.198
0.707,0.569,14.1,21,0.195
0.585,0.527,13.7,21.5,0.202
0.634,0.535,14.6,25.3,0.198
0.585,0.514,12.4,27.7,0.197
0.671,0.518,13,21.5,0.188
0.573,0.507,12.2,23.7,0.189
0.598,0.511,12.3,23.3,0.192
0.573,0.523,11.4,24.4,0.225
0.561,0.536,13.4,25.7,0.198
0.585,0.541,13.3,20,0.183
0.585,0.525,12.3,22.7,0.173
0.61,0.547,12.6,20.1,0.214
0.524,0.525,13.3,23.5,0.196
0.512,0.527,13.2,23.5,0.222
0.537,0.52,13.3,21.5,0.173
0.439,0.508,11.4,22.2,0.233
0.476,0.512,12.3,22.7,0.169
0.537,0.531,12.9,20.4,0.22
0.427,0.517,13.8,23.6,0.188
0.293,0.513,11.6,18,0.166
0.354,0.51,13.3,24.1,0.17
0.341,0.514,13.6,21,0.201
0.305,0.512,13.3,20,0.18
0.293,0.512,14.1,21.1,0.185
0.268,0.5,14,22.4,0.201
0.329,0.502,12.8,21.5,0.143
0.329,0.497,12.6,20.6,0.164
0.256,0.495,13.9,22.5,0.203
